helm1	raw	helm2
907.989	2763.71	532.03
908.938	2766.1	533.672
910.013	2774.01	535.331
922.155	2813.17	537.79
922.24	2826.48	538.568
923.776	2828.15	539.332
924.404	2829.47	539.84
925.251	2836.39	541.194
927.818	2844.45	544.364
930.955	2853.04	551.475
936.968	2875	551.655
939.315	2905.38	554.315
946.729	2913.9	556.828
953.779	2925.44	560.027
955.474	2947.46	563.372
957.859	2950.4	564.037
965.699	2951.09	564.269
971.833	2952.11	567.174
975.794	2952.53	567.304
977.169	2960.23	568.324
981.347	2966.91	571.141
988.262	2970.8	572.052
991.865	2971.5	573.168
993.41	2993.87	574.083
997.55	3001.93	574.317
1002.89	3018.9	575.894
1010.82	3019.36	579.429
1012.17	3025.63	580.468
1015.14	3030.31	582.066
1015.21	3060.38	582.374
1015.3	3096.53	583.926
1020.84	3101.76	584.23
1022.37	3106.3	586.341
1028.21	3130.93	586.521
1029.49	3142.18	588.711
1029.79	3153.12	589.706
1031.99	3155.4	590.012
1041.54	3208.67	590.884
1044.06	3229.41	592.001
1045.5	3240.21	594.509
1046.65	3252.21	598.187
1050.15	3254.59	600.955
1050.69	3264.84	601.183
1063.62	3270.02	601.884
1072.67	3279.71	608.165
1073.52	3282.51	609.101
1079.52	3305.62	615.159
1079.87	3312.81	616.187
1087.41	3312.92	617.702
1088.41	3342.5	620.127
1088.47	3349.96	621.551
1088.78	3359.47	624.308
1088.98	3367.23	627.642
1110.03	3374.97	632.515
1111.2	3400.01	633.486
1119.52	3432.85	634.173
1123.85	3446.04	634.658
1135.67	3466.32	635.725
1142.18	3492.2	646.754
1146.43	3506.91	647.301
1151.3	3523.8	651.446
1156.58	3539.97	656.447
1156.89	3569.06	658.811
1164.47	3589.15	658.949
1167.82	3696.46	661.143
1176.79	3712.63	664.681
1178.42	3744.26	664.983
1183.92	3752.84	667.007
1191.37	3761.98	676.983
1193.9	3769.46	682.07
1196.58	3780.87	682.585
1197.4	3789.34	684.245
1201.38	3824.49	685.075
1201.49	3900.53	691.553
1204.92	3927.23	693.263
1210.75	3944.58	694.038
1212.55	3958.92	698.241
1220.08	4024.91	700.885
1223.4	4040.48	701.283
1226.59	4064.49	701.786
1239.82	4107.84	702.421
1241.24	4124.79	703.069
1273.54	4126.94	704.04
1275.38	4150	705.332
1278.71	4154.32	707.747
1283.4	4183.36	710.897
1284.4	4188.47	716.712
1286.91	4191.04	720.217
1294.23	4202.91	723.962
1303.08	4211.96	729.133
1309.22	4255.85	735.951
1309.85	4261.25	741.387
1322.93	4262.32	744.523
1323.93	4325.24	749.767
1325.44	4346.78	755.688
1331.78	4445.32	762.78
1335.46	4474.29	788.076
1342.99	4498.37	789.068
1356.37	4544.74	789.613
1358.2	4593.2	791.292
1363.35	4610.36	793.693
1375.53	4645.28	795.585
1413.64	4713.37	796.147
1424.47	4721.78	809.545
1443.7	4870.01	816.171
