max, 1.4488, 1.4488, t, t, t, xx, xx, t, t, f, t, xx, xx, xx, xx, t, t, cch
max, 1.9819, 1.9819, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 2.5999, 2.5999, xx, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
max, 2.6485, 2.6485, xx, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cCH
max, 3.7198, 0.163, xx, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cch
sum, 2.4871, 0.5689, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 3.8863, 0.6613, t, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 3.0865, 3.0865, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, Cch
max, 3.3058, 3.3058, t, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, CCH
sum, 1.1545, 0.5143, xx, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
sum, 2.4481, 0.6183, t, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 3.3163, 3.3163, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
max, 1.2673, 0.7241, t, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cch
max, 1.6579, 0.7683, t, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 1.1491, 1.1491, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
max, 2.5195, 2.5195, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
max, 3.7582, 0.0132, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
max, 2.0983, 2.0983, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 1.3576, 0.9031, t, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cCH
sum, 1.1458, 1.1458, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 1.8094, 0.731, xx, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cch
sum, 3.0235, 3.0235, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
sum, 2.728, 2.728, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 3.4606, 3.4606, xx, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, CCH
sum, 2.8036, 0.5218, t, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cch
sum, 1.7407, 1.7407, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
max, 2.6128, 2.6128, xx, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 2.5459, 0.7115, xx, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cCH
sum, 3.6502, 3.6502, t, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, CCH
sum, 3.6607, 0.9413, xx, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 2.0188, 2.0188, xx, t, t, xx, xx, t, t, f, t, xx, xx, xx, xx, t, t, cch
max, 1.234, 1.234, t, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 3.9703, 0.0989, t, xx, xx, xx, xx, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 2.9698, 2.9698, xx, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cCH
max, 1.129, 1.129, xx, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 2.1478, 0.0943, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
max, 3.4678, 3.4678, xx, t, t, xx, xx, t, t, f, t, xx, xx, xx, xx, t, t, Cch
max, 3.7531, 0.617, xx, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 3.2965, 3.2965, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
